symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
XAUUSD,SELL,1117.68,1121.76429,1121.76429,1107.46929,-408.43,-457.21,0.1,TREND_UP,SL,1,2015-09-17 22:00:00,2015-09-17 23:00:00
XAUUSD,BUY,1129.27,1136.41911,1120.40429,1151.43429,643.42,613.95,0.09,TREND_UP,SL,5,2015-09-18 10:00:00,2015-09-18 15:00:00
XAUUSD,BUY,1145.46,1149.19024,1137.00714,1166.59214,373.02,335.51,0.1,TREND_UP,SL,8,2015-09-25 02:00:00,2015-09-25 10:00:00
XAUUSD,SELL,1147.43,1145.11086,1152.24429,1135.39429,231.91,198.11,0.1,TREND_UP,SL,4,2015-09-25 18:00:00,2015-09-25 22:00:00
XAUUSD,SELL,1131.94,1127.30932,1140.23714,1111.19714,463.07,426.22,0.1,TREND_DOWN,SL,8,2015-09-29 03:00:00,2015-09-29 11:00:00
XAUUSD,SELL,1115.13,1112.4577,1122.83571,1095.86571,267.23,238.15,0.1,TREND_DOWN,SL,9,2015-10-01 04:00:00,2015-10-01 13:00:00
XAUUSD,BUY,1146.45,1150.16693,1139.60714,1163.55714,371.69,346.01,0.1,TREND_UP,SL,7,2015-10-07 04:00:00,2015-10-07 11:00:00
XAUUSD,BUY,1148.77,1152.25171,1143.21286,1162.66286,348.17,323.42,0.1,TREND_UP,SL,6,2015-10-07 12:00:00,2015-10-07 18:00:00
XAUUSD,SELL,1143.3,1137.92298,1149.68286,1127.34286,537.7,513.02,0.1,RANGING,SL,5,2015-10-08 13:00:00,2015-10-08 18:00:00
XAUUSD,BUY,1156.53,1159.38508,1148.46714,1176.68714,285.51,236.68,0.1,TREND_UP,SL,1,2015-10-10 01:00:00,2015-10-12 02:00:00
XAUUSD,BUY,1158.18,1164.45695,1149.92571,1178.81571,627.69,602.72,0.1,TREND_UP,SL,5,2015-10-12 07:00:00,2015-10-12 12:00:00
XAUUSD,BUY,1163.85,1158.17143,1158.17143,1178.04643,-567.86,-592.71,0.1,TREND_UP,SL,8,2015-10-12 18:00:00,2015-10-13 02:00:00
XAUUSD,SELL,1158.04,1153.7475,1165.71429,1138.85429,429.25,404.24,0.1,RANGING,SL,5,2015-10-13 12:00:00,2015-10-13 17:00:00
XAUUSD,BUY,1183.16,1177.0025,1177.0025,1199.58,-615.75,-640.71,0.1,TREND_UP,SL,6,2015-10-15 11:00:00,2015-10-15 17:00:00
XAUUSD,SELL,1177.95,1183.35286,1183.35286,1164.44286,-540.29,-565.13,0.1,RANGING,SL,1,2015-10-16 16:00:00,2015-10-16 17:00:00
XAUUSD,SELL,1172.92,1170.15059,1180.35,1154.345,276.94,252.21,0.1,TREND_DOWN,SL,12,2015-10-19 13:00:00,2015-10-20 01:00:00
XAUUSD,SELL,1166.83,1163.93235,1173.37857,1150.45857,289.77,264.91,0.1,RANGING,SL,13,2015-10-22 05:00:00,2015-10-22 18:00:00
XAUUSD,SELL,1165.07,1161.92296,1170.21821,1151.34143,314.7,290.17,0.1,RANGING,SL,18,2015-10-26 07:00:00,2015-10-27 02:00:00
XAUUSD,SELL,1159.87,1154.8874,1168.48571,1138.33071,498.26,473.65,0.1,RANGING,SL,3,2015-10-29 13:00:00,2015-10-29 16:00:00
XAUUSD,SELL,1147.08,1142.45166,1154.66143,1128.12643,462.83,438.29,0.1,TREND_DOWN,SL,10,2015-10-30 06:00:00,2015-10-30 16:00:00
