symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
BTCUSD,BUY,85816.67,84578.39857,84578.39857,88912.34857,-1238.27,-1271.43,0.01,TREND_UP,SL,6,2025-03-20 13:00:00,2025-03-20 19:00:00
BTCUSD,SELL,84605.37,83882.63543,85768.15571,81698.40571,722.73,690.03,0.01,RANGING,SL,4,2025-03-21 08:00:00,2025-03-21 12:00:00
BTCUSD,SELL,84079.37,83595.51689,84943.07714,81920.10214,483.85,451.08,0.01,TREND_DOWN,SL,4,2025-03-21 13:00:00,2025-03-21 17:00:00
BTCUSD,BUY,84122.5,83689.19286,83689.19286,85205.76786,-433.31,-487.14,0.01,TREND_DOWN,SL,9,2025-03-22 17:00:00,2025-03-23 03:00:00
BTCUSD,BUY,87839.9,86625.78714,86625.78714,90875.18214,-1214.11,-1267.97,0.01,TREND_UP,SL,7,2025-03-25 00:00:00,2025-03-25 07:00:00
BTCUSD,SELL,84425.9,83938.70751,85433.03,81908.075,487.19,433.41,0.01,TREND_DOWN,SL,6,2025-03-29 02:00:00,2025-03-29 08:00:00
BTCUSD,SELL,84023.7,82486.92068,84863.44571,81924.33571,1536.78,1482.94,0.01,TREND_DOWN,SL,3,2025-03-29 08:00:00,2025-03-29 20:00:00
BTCUSD,SELL,83059.2,82349.12887,84096.35,80466.325,710.07,656.47,0.01,TREND_DOWN,SL,13,2025-03-30 09:00:00,2025-03-30 22:00:00
BTCUSD,BUY,84658.17,85127.42735,83716.8675,87168.31,469.26,436.62,0.01,TREND_UP,SL,8,2025-04-02 07:00:00,2025-04-02 15:00:00
BTCUSD,BUY,79785.07,78283.0,78283.0,83540.245,-1502.07,-1535.05,0.01,TREND_UP,SL,3,2025-04-08 17:00:00,2025-04-08 20:00:00
BTCUSD,BUY,82922.81,83467.00663,81584.05571,86269.69571,544.2,490.26,0.01,TREND_UP,SL,5,2025-04-12 08:00:00,2025-04-12 13:00:00
BTCUSD,BUY,83375.31,83642.70276,82537.15286,85470.70286,267.39,213.31,0.01,TREND_UP,SL,3,2025-04-12 15:00:00,2025-04-12 18:00:00
BTCUSD,BUY,85533.37,86141.36985,84678.08429,87671.58429,608.0,574.88,0.01,TREND_UP,SL,3,2025-04-15 16:00:00,2025-04-15 19:00:00
BTCUSD,SELL,83684.07,84621.33429,84621.33429,81340.90929,-937.26,-970.26,0.01,TREND_DOWN,SL,6,2025-04-16 13:00:00,2025-04-16 19:00:00
BTCUSD,BUY,84420.87,83847.83143,83847.83143,85948.97286,-573.04,-605.77,0.01,RANGING,SL,1,2025-04-17 18:00:00,2025-04-17 19:00:00
BTCUSD,BUY,86920.57,88009.03563,85819.78429,89672.53429,1088.47,1055.03,0.01,TREND_UP,SL,4,2025-04-21 16:00:00,2025-04-21 20:00:00
BTCUSD,BUY,93409.27,94258.58391,92053.70714,96798.17714,849.31,815.74,0.01,TREND_UP,SL,3,2025-04-23 16:00:00,2025-04-23 19:00:00
BTCUSD,BUY,93574.17,92089.40429,92089.40429,97286.08429,-1484.77,-1518.05,0.01,TREND_UP,SL,15,2025-04-23 21:00:00,2025-04-24 12:00:00
BTCUSD,BUY,94944.81,93483.90857,93483.90857,98597.06357,-1460.9,-1514.88,0.01,TREND_UP,SL,46,2025-04-26 06:00:00,2025-04-28 05:00:00
BTCUSD,BUY,94754.07,95147.29162,93927.95,96819.37,393.22,360.36,0.01,TREND_UP,SL,8,2025-04-29 17:00:00,2025-04-30 01:00:00
BTCUSD,BUY,96341.81,96850.61824,95124.56143,99384.93143,508.81,455.27,0.01,TREND_UP,SL,8,2025-05-02 01:00:00,2025-05-02 09:00:00
