timestamp,symbol,direction,lot,ret
2025-12-29T01:11:34.781000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:34.783000,USDCHF,-1,390935.55,10014
2025-12-29T01:11:34.785000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:11:39.790000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:39.790000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:39.790000,USDCHF,-1,390935.55,10014
2025-12-29T01:11:44.800000,EURUSD,1,495413.25,10014
2025-12-29T01:11:44.804000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:44.804000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:44.804000,USDCHF,-1,390925.64,10014
2025-12-29T01:11:44.812000,JP225.cash,-1,773384670.28,10014
2025-12-29T01:11:49.814000,EURUSD,1,495413.25,10014
2025-12-29T01:11:49.820000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:49.823000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:49.825000,USDCHF,-1,390920.69,10014
2025-12-29T01:11:49.833000,JP225.cash,-1,773389624.42,10014
2025-12-29T01:11:54.835000,EURUSD,1,495413.25,10014
2025-12-29T01:11:54.835000,GBPUSD,1,495413.25,10014
2025-12-29T01:11:54.835000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:54.835000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:54.835000,USDCHF,-1,390890.96,10014
2025-12-29T01:11:54.845000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:11:54.847000,JP225.cash,-1,773374762.02,10014
2025-12-29T01:11:59.851000,EURUSD,1,495413.25,10014
2025-12-29T01:11:59.851000,GBPUSD,1,495413.25,10014
2025-12-29T01:11:59.851000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:59.851000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:59.851000,USDCHF,-1,390895.92,10014
2025-12-29T01:11:59.862000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:11:59.864000,US500.cash,-1,49541324.99,10014
